DATE,"VALUE, USD"
1 кв. 2002,8292215478.852333
2 кв. 2002,9404931691.938147
3 кв. 2002,12208837602.026455
4 кв. 2002,12469807216.262846
1 кв. 2003,9857156247.070953
2 кв. 2003,11400765076.50765
3 кв. 2003,14219638000.562693
4 кв. 2003,14658351308.262215
1 кв. 2004,12568442384.553318
2 кв. 2004,14773807957.599564
3 кв. 2004,18728451118.186787
4 кв. 2004,18871338636.10661
1 кв. 2005,15962354188.75928
2 кв. 2005,19287636003.95648
3 кв. 2005,23642178217.82178
4 кв. 2005,24466336633.66337
1 кв. 2006,21059009900.9901
2 кв. 2006,25013663366.336636
3 кв. 2006,30179405940.59406
4 кв. 2006,31500990099.009903
1 кв. 2007,27612673267.326733
2 кв. 2007,33043366336.633663
3 кв. 2007,39511881188.11881
4 кв. 2007,42551089108.9109
1 кв. 2008,37912673267.32674
2 кв. 2008,48677638227.22679
3 кв. 2008,56871219913.59803
4 кв. 2008,31702987012.98701
1 кв. 2009,24549090909.090908
2 кв. 2009,28059578260.356735
3 кв. 2009,31249188514.357056
4 кв. 2009,32549530369.442703
1 кв. 2010,27417791798.107258
2 кв. 2010,32471733906.66498
3 кв. 2010,38067985088.772354
4 кв. 2010,38594521270.58292
1 кв. 2011,32372110552.76382
2 кв. 2011,39012831930.55956
3 кв. 2011,46385540657.4937
4 кв. 2011,45502640867.10556
1 кв. 2012,36672718394.330574
2 кв. 2012,43521050985.29872
3 кв. 2012,48694232453.39672
4 кв. 2012,47702865006.88102
1 кв. 2013,37891154760.41536
2 кв. 2013,44166770924.55899
3 кв. 2013,49384586513.19905
4 кв. 2013,50583135243.33792
1 кв. 2014,35784000000.0
2 кв. 2014,32701000000.0
3 кв. 2014,35025000000.0
4 кв. 2014,31006000000.0
1 кв. 2015,17750000000.0
2 кв. 2015,21125000000.0
3 кв. 2015,26102000000.0
4 кв. 2015,25765000000.0
1 кв. 2016,17737000000.0
2 кв. 2016,21205000000.0
3 кв. 2016,26450000000.0
4 кв. 2016,27925000000.0
1 кв. 2017,21868625277.161865
2 кв. 2017,25103112002.357998
3 кв. 2017,32181405475.517673
4 кв. 2017,33069372180.897366
1 кв. 2018,25851293221.79715
2 кв. 2018,30939210620.47416
3 кв. 2018,36359586812.908325
4 кв. 2018,37549016100.17889
1 кв. 2019,30035602917.583393
2 кв. 2019,35103061347.4145
3 кв. 2019,44027578888.740776
4 кв. 2019,45865335075.448135
1 кв. 2020,34086408053.85564
2 кв. 2020,32495036924.292503
3 кв. 2020,42110000012.07571
4 кв. 2020,46029422862.85682
1 кв. 2021,36062960592.41884
2 кв. 2021,42384916766.03518
3 кв. 2021,55682341338.5496
4 кв. 2021,60869781303.0

